,full_text,weekday,month,day,hour,has_hashtag,has_url,like_count,is_reply,retweet_count,followers,following,user,screen_name
99,"RT @KalkaOsman: About to vote for our brilliant #Greens for my fellow ex-ward cllr @MagicMagid 💚💚💚
#VoteMAGID #EUelections2019 #ChooseHope…",Thu,May,23,15,1,0,0,0,19,7176,1060,Shahrar Ali,ShahrarAli
100,RT @DalbidEU: @adamboultonSKY @WalshHeyjude @eucopresident At this time of national crisis: The #Tories are engaged in a leadership electio…,Thu,May,23,15,1,0,0,0,3,4091,4342,utterly Flabbergasted REMAINER,CliveGeorgeHil1
101,RT @DalbidEU: @mrjamesob @g_m_hodgson At this time of national crisis: The #Tories are engaged in a leadership election (Party before Peopl…,Thu,May,23,15,1,0,0,0,17,3804,4952,Roy Motteram,RoyMotteram
102,"RT @bill_ravotti: https://t.co/XTJflnoptP
Dutch scandal grows over cover-up of serious crimes committed by migrants. #Rutte, another #ALDE…",Thu,May,23,15,1,1,0,0,17,511,1432,Michael Johansson,Mijomal
103,"RT @bill_ravotti: https://t.co/XTJflnoptP
Dutch scandal grows over cover-up of serious crimes committed by migrants. #Rutte, another #ALDE…",Thu,May,23,15,1,1,0,0,17,1067,849,Milena K.,MilaKuki27
104,"RT @bill_ravotti: https://t.co/XTJflnoptP
Dutch scandal grows over cover-up of serious crimes committed by migrants. #Rutte, another #ALDE…",Thu,May,23,15,1,1,0,0,17,3500,2342,Vladimir Krstevski Makedonski,vladokrstevski
105,"RT @bill_ravotti: https://t.co/XTJflnoptP
Dutch scandal grows over cover-up of serious crimes committed by migrants. #Rutte, another #ALDE…",Thu,May,23,15,1,1,0,0,17,277,223,ReaMon1815,ReaMon1815
106,"RT @bill_ravotti: https://t.co/XTJflnoptP
Dutch scandal grows over cover-up of serious crimes committed by migrants. #Rutte, another #ALDE…",Thu,May,23,15,1,1,0,0,17,13674,11779,V4 Report,bill_ravotti
107,"RT @AnonsWorldwide: #EPP #SD #ALDE passed #copyrightdirective censorship &amp; surveillance law violating several existing laws:

- The e-comme…",Thu,May,23,14,1,0,0,0,24,173,891,Claudia Nelms,claudiaguedesrj
108,"RT @AnonsWorldwide: #EPP #SD #ALDE passed #copyrightdirective censorship &amp; surveillance law violating several existing laws:

- The e-comme…",Thu,May,23,14,1,0,0,0,24,53,189,Ela Álava,AlavaEla
109,"RT @ALDEParty: In this penultimate episode of #ALDE Campaign News, we recap the events to come and share an important message: go vote this…",Thu,May,23,14,1,0,0,0,1,31,317,@DunjaVasic,DunjaVasic5
110,"RT @bill_ravotti: #Rutte was not concerned w-victims; instead, worried about the “image this creates”, adding “You want support for the rec…",Thu,May,23,14,1,0,0,0,7,211,46,Victor Sproule,VictorSproule
111,RT @AnonsWorldwide: The architect and main operator party (#CDU/#EPP) to pass censorship and surveillance law #copyrightdirective (#ACTA2)…,Thu,May,23,14,1,0,0,0,23,39,103,Ghoulmistress against undemocratic #UploadFilters,mjp1337
